Year,Ward,Name,Party,Vote
2021,"Ingatestone, Fryerning & Mountnessing",Paul Francis Jeater,Green,159
2021,"Ingatestone, Fryerning & Mountnessing",Joanna Margaret Moncrieff,Labour,94
2021,"Ingatestone, Fryerning & Mountnessing",Darryl Michael Sankey,LibDem,763
2021,"Ingatestone, Fryerning & Mountnessing",Lesley Anne Wagland,Conservative,1030
2021,Pilgrims Hatch,Cameron Frederick Ball,Labour,134
2021,Pilgrims Hatch,John Michael Hamilton,Green,53
2021,Pilgrims Hatch,Kelly Herbert,Conservative,455
2021,Pilgrims Hatch,David John Kendall,LibDem,913
2021,Shenfield,Tom Heard,Conservative,997
2021,Shenfield,Elizabeth Susan Jerrard,Labour,130
2021,Shenfield,Gary Martin Macdonnell,LibDem,789
2021,Shenfield,Anne Fiona Milward,Green,120
2021,Tipps Cross,Thomas Alan Acton,Labour,57
2021,Tipps Cross,Thomas Bridge,Conservative,673
2021,Tipps Cross,Roger Charles Keeble,Independent,638
2021,Warley,Martin Leonard Cuthbert,LibDem,769
2021,Warley,Jason William Gibson,Conservative,748
2021,Warley,William Owen Hughes,Reform UK,34
2021,Warley,Richard Millwood,Labour,222
2022,Brentwood North,Adam Jack Chinnery,Conservative,357
2022,Brentwood North,Oliver Charles Durose,Labour,183
2022,Brentwood North,John Michael Hamilton,Green,134
2022,Brentwood North,Philip Christopher Mynott,LibDem,940
2022,Brentwood North,Robert Prince,Reform UK,31
2022,Brentwood South,Gareth Paul Barrett,Labour,811
2022,Brentwood South,Gary Martin Macdonnell,LibDem,247
2022,Brentwood South,Janak Patel,Conservative,433
2022,Brentwood West,Karen Ann Lyon-Brown,Conservative,448
2022,Brentwood West,Richard Millwood,Labour,225
2022,Brentwood West,Dominic Phillip Naylor,LibDem,1041
2022,Brizes & Doddinghurst,Kevin Brailey,Labour,136
2022,Brizes & Doddinghurst,Hugh Maurice Gorton,LibDem,485
2022,Brizes & Doddinghurst,Keith Parker,Conservative,880
2022,"Herongate, Ingrave & West Horndon",Anne Valerie Long,LibDem,148
2022,"Herongate, Ingrave & West Horndon",Sheila Murphy,Conservative,613
2022,"Herongate, Ingrave & West Horndon",Jane Elizabeth Winter,Labour,129
2022,Hutton Central,Laura Justine Carey,LibDem,235
2022,Hutton Central,Philip Holland,Labour,156
2022,Hutton Central,Melissa Slade,Conservative,573
2022,Hutton East,Arthur Harold Leathley,LibDem,320
2022,Hutton East,Liam Benjamin Preston,Labour,45
2022,Hutton East,Olivia Maria Sanders,Conservative,442
2022,Hutton South,Alexander Samuel Carter,LibDem,215
2022,Hutton South,Deborah Lynn Foster,Labour,150
2022,Hutton South,Roger Charles Hirst,Conservative,616
2022,"Ingatestone, Fryerning & Mountnessing",Jon Cloke,Conservative,744
2022,"Ingatestone, Fryerning & Mountnessing",Joanna Margaret Moncrieff,Labour,114
2022,"Ingatestone, Fryerning & Mountnessing",Darryl Michael Sankey,LibDem,1098
2022,Pilgrims Hatch,Barry Roy Aspinell,LibDem,985
2022,Pilgrims Hatch,Gordon William Frank Cowley,Conservative,305
2022,Pilgrims Hatch,June Simmons,Labour,134
2022,Shenfield,Nicola Mary Cuthbert,LibDem,879
2022,Shenfield,Elizabeth Susan Jerrard,Labour,90
2022,Shenfield,Anne Fiona Milward,Green,80
2022,Shenfield,Jan Pound,Conservative,798
2022,South Weald,Francisca Jose Dapp,Labour,38
2022,South Weald,Tom Mclaren,Conservative,314
2022,South Weald,Jack Munden,LibDem,289
2022,Warley,Mark Alexander Haigh,LibDem,1016
2022,Warley,Gregory Alan Ince,Green,72
2022,Warley,Susan Margaret Kortlandt,Labour,156
2022,Warley,Roger John McCheyne,Conservative,396
